time (us),x (mdps),y (mdps),z(mdps)
1759266320505123,831.25,-1137.5,1435,
1759266320507705,708.75,-1435,1058.75,
1759266320510280,883.75,-1093.75,1382.5,
1759266320512888,717.5,-1216.25,1050,
1759266320515546,717.5,-1111.25,1181.25,
1759266320518137,918.75,-1120,665,
1759266320520931,1015,-1295,700,
1759266320523729,1347.5,-936.25,805,
1759266320526446,1338.75,-1058.75,901.25,
1759266320529278,1216.25,-1058.75,883.75,
1759266320531967,805,-577.5,962.5,
1759266320534612,735,-1032.5,1085,
1759266320537230,560,-857.5,997.5,
1759266320540071,498.75,-735,927.5,
1759266320543044,568.75,-691.25,805,
1759266320545814,630,-507.5,586.25,
1759266320548370,813.75,-498.75,183.75,
1759266320550909,726.25,-463.75,96.25,
1759266320553439,980,-297.5,253.75,
1759266320556130,805,-437.5,43.75,
1759266320558883,551.25,-525,227.5,
1759266320561437,315,-647.5,-122.5,
1759266320564035,96.25,-323.75,-87.5,
1759266320566715,236.25,-315,-148.75,
1759266320569413,306.25,-420,-166.25,
1759266320572255,463.75,-420,-577.5,
1759266320575597,945,-385,-883.75,
1759266320578238,735,-402.5,-682.5,
1759266320580738,813.75,-105,-341.25,
1759266320583267,1478.75,-455,-411.25,
1759266320585863,796.25,-437.5,-341.25,
1759266320588514,743.75,-393.75,-516.25,
1759266320591348,367.5,-332.5,-551.25,
1759266320594011,393.75,96.25,-726.25,
1759266320596680,472.5,-78.75,-253.75,
1759266320599287,166.25,-52.5,-262.5,
1759266320602093,656.25,61.25,-428.75,
1759266320604905,411.25,-560,-166.25,
1759266320607954,840,-612.5,210,
1759266320610632,490,-682.5,192.5,
1759266320613405,647.5,-533.75,87.5,
1759266320616116,385,-560,586.25,
1759266320618789,122.5,-761.25,560,
1759266320622029,70,-245,840,
1759266320625341,551.25,-647.5,770,
1759266320627981,630,-463.75,481.25,
1759266320630616,953.75,-533.75,577.5,
1759266320633279,700,-638.75,586.25,
1759266320636112,1181.25,-700,630,
1759266320638916,1163.75,-1041.25,726.25,
1759266320642017,1233.75,-1268.75,1006.25,
1759266320644669,1006.25,-1198.75,875,
1759266320647329,752.5,-866.25,875,
1759266320650023,778.75,-778.75,1260,
1759266320652725,717.5,-840,1251.25,
1759266320655565,866.25,-848.75,1128.75,
1759266320658723,787.5,-1023.75,1312.5,
1759266320661420,586.25,-1067.5,1076.25,
1759266320664251,883.75,-988.75,840,
1759266320667188,953.75,-1163.75,1286.25,
1759266320669932,437.5,-1277.5,945,
1759266320672905,910,-840,980,
1759266320675682,533.75,-883.75,665,
1759266320678390,612.5,-805,700,
1759266320681166,682.5,-997.5,700,
1759266320684165,848.75,-700,603.75,
1759266320686934,717.5,-910,717.5,
1759266320689948,936.25,-883.75,516.25,
1759266320692759,971.25,-875,288.75,
1759266320695516,1006.25,-936.25,498.75,
1759266320698341,1050,-1023.75,481.25,
1759266320701161,805,-1120,656.25,
1759266320703990,1067.5,-848.75,385,
1759266320706818,988.75,-936.25,166.25,
1759266320709675,743.75,-367.5,-105,
1759266320712370,953.75,-490,17.5,
1759266320714996,638.75,-638.75,-61.25,
1759266320717538,726.25,-385,140,
1759266320720162,551.25,-358.75,306.25,
1759266320722921,525,-350,113.75,
1759266320725707,533.75,-236.25,87.5,
1759266320728373,105,-227.5,166.25,
1759266320730868,437.5,-105,148.75,
1759266320733439,560,-245,253.75,
1759266320735978,691.25,-78.75,192.5,
1759266320738713,315,96.25,-227.5,
1759266320741564,708.75,297.5,-157.5,
1759266320744481,525,-210,341.25,
1759266320747058,630,-481.25,490,
1759266320749745,682.5,-507.5,52.5,
1759266320752554,481.25,-551.25,-227.5,
1759266320755083,358.75,-393.75,-253.75,
1759266320758056,271.25,-166.25,-26.25,
1759266320761053,411.25,-332.5,43.75,
1759266320763651,586.25,-402.5,-376.25,
1759266320766246,43.75,-26.25,-682.5,
1759266320768862,-166.25,-323.75,-577.5,
1759266320771558,-210,-87.5,253.75,
1759266320774700,70,-446.25,367.5,
1759266320777388,-428.75,-472.5,157.5,
1759266320780140,105,-463.75,96.25,
1759266320782869,-402.5,0,-17.5,
1759266320785695,-122.5,-17.5,297.5,
1759266320788569,-463.75,-341.25,498.75,
1759266320791738,-105,-560,-332.5,
1759266320794441,157.5,-463.75,-542.5,
1759266320797151,-656.25,-551.25,-315,
1759266320799860,26.25,-787.5,-70,
1759266320802736,78.75,-848.75,166.25,
1759266320805948,105,-1023.75,-140,
1759266320808966,350,-1233.75,-113.75,
1759266320811561,-87.5,-1050,210,
1759266320814183,-78.75,-962.5,332.5,
1759266320816746,157.5,-1041.25,586.25,
1759266320819349,210,-866.25,437.5,
1759266320822011,17.5,-840,227.5,
1759266320824935,262.5,-910,122.5,
1759266320827468,227.5,-761.25,647.5,
1759266320830037,-96.25,-875,927.5,
1759266320832658,218.75,-1006.25,875,
1759266320835159,-96.25,-1015,901.25,
1759266320837900,236.25,-945,1146.25,
1759266320840708,498.75,-866.25,1023.75,
1759266320843345,393.75,-726.25,1251.25,
1759266320845956,148.75,-201.25,1303.75,
1759266320848640,253.75,-507.5,1295,
1759266320851485,446.25,-481.25,1286.25,
1759266320854181,472.5,-1172.5,1286.25,
1759266320857128,796.25,-971.25,1610,
1759266320859972,708.75,-901.25,1592.5,
1759266320862682,831.25,-831.25,1382.5,
1759266320865399,1128.75,-840,1496.25,
1759266320868178,848.75,-665,1426.25,
1759266320871033,875,-542.5,1260,
1759266320874177,778.75,-262.5,1225,
1759266320877029,656.25,-280,1338.75,
